count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,104
2000,1,36,64,148
3000,1,42,64,194
4000,1,48,64,267
5000,1,29,64,310
6000,1,35,64,340
7000,1,40,64,371
8000,1,46,64,410
9000,1,51,64,438
10000,1,30,64,472
11000,1,36,64,498
12000,1,41,64,522
13000,1,47,64,549
14000,1,52,64,575
15000,1,30,64,600
16000,1,36,64,631
17000,1,41,64,657
18000,1,47,64,682
19000,1,52,64,709
20000,1,29,64,733
21000,1,34,64,757
22000,1,40,64,781
23000,1,45,64,804
24000,1,51,64,834
25000,1,28,64,861
26000,1,33,64,896
27000,1,39,64,920
28000,1,44,64,944
29000,1,50,64,967
30000,1,27,64,995
31000,1,33,64,1021
32000,1,38,64,1051
33000,1,44,64,1077
34000,1,49,64,1141
35000,1,55,64,1176
36000,1,30,64,1207
37000,1,36,64,1231
38000,1,41,64,1255
39000,1,47,64,1281
40000,1,52,64,1306
41000,1,28,64,1333
42000,1,34,64,1359
43000,1,39,64,1385
44000,1,44,64,1428
45000,1,50,64,1466
46000,1,55,64,1507
47000,1,30,64,1543
48000,1,36,64,1570
49000,1,41,64,1594
50000,1,47,64,1616
51000,1,52,64,1637
52000,1,57,64,1667
53000,1,31,64,1691
54000,1,36,64,1715
55000,1,42,64,1736
56000,1,47,64,1759
57000,1,53,64,1782
58000,1,28,64,1804
59000,1,33,64,1826
60000,1,38,64,1846
61000,1,44,64,1869
62000,1,49,64,1893
63000,1,54,64,1914
64000,1,29,64,1937
65000,1,35,64,1958
66000,1,40,64,1980
67000,1,46,64,2004
68000,1,51,64,2024
69000,1,56,64,2044
70000,1,30,64,2068
71000,1,35,64,2091
72000,1,41,64,2116
73000,1,46,64,2244
74000,1,52,64,2266
75000,1,57,64,2288
76000,1,29,64,2308
77000,1,35,64,2328
78000,1,40,64,2350
79000,1,46,64,2372
80000,1,51,64,2397
81000,1,56,64,2457
82000,1,29,64,2488
83000,1,35,64,2534
84000,1,40,64,2565
85000,1,46,64,2601
86000,1,51,64,2640
87000,1,56,64,2670
88000,1,29,64,2697
89000,1,35,64,2728
90000,1,40,64,2756
91000,1,46,64,2781
92000,1,51,64,2811
93000,1,56,64,2836
94000,1,29,64,2860
95000,1,35,64,2881
96000,1,40,64,2902
97000,1,46,64,2933
98000,1,51,64,2959
99000,1,56,64,2980
100000,1,29,64,3006
101000,1,34,64,3040
102000,1,40,64,3065
103000,1,46,64,3087
104000,1,51,64,3110
105000,1,56,64,3130
106000,1,29,64,3155
107000,1,35,64,3191
108000,1,40,64,3213
109000,1,46,64,3431
110000,1,51,64,3464
111000,1,57,64,3493
112000,1,29,64,3517
113000,1,35,64,3543
114000,1,40,64,3564
115000,1,46,64,3585
116000,1,51,64,3619
117000,1,57,64,3643
118000,1,29,64,3673
118122,1,30,64,3687
