count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
500,1,28,64,87
1000,1,31,64,175
1500,1,34,64,203
2000,1,37,64,232
2500,1,41,64,263
3000,1,44,64,289
3500,1,47,64,346
4000,1,50,64,368
4500,1,27,64,392
5000,1,30,64,411
5500,1,33,64,434
6000,1,36,64,454
6500,1,39,64,475
7000,1,43,64,494
7500,1,46,64,513
8000,1,49,64,531
8500,1,52,64,552
9000,1,27,64,571
9500,1,30,64,589
10000,1,33,64,610
10500,1,36,64,627
11000,1,39,64,644
11500,1,42,64,663
12000,1,45,64,682
12500,1,48,64,699
13000,1,51,64,719
13500,1,27,64,738
14000,1,30,64,757
14500,1,33,64,787
15000,1,36,64,807
15500,1,39,64,829
16000,1,42,64,847
16500,1,45,64,866
17000,1,48,64,888
17500,1,51,64,909
18000,1,54,64,927
18500,1,27,64,948
19000,1,30,64,965
19500,1,33,64,982
20000,1,36,64,999
20500,1,39,64,1019
21000,1,42,64,1034
21500,1,45,64,1052
22000,1,48,64,1069
22500,1,51,64,1086
23000,1,54,64,1105
23500,1,27,64,1123
24000,1,30,64,1142
24500,1,33,64,1164
25000,1,36,64,1180
25500,1,39,64,1197
26000,1,42,64,1213
26500,1,45,64,1230
27000,1,48,64,1246
27500,1,51,64,1263
28000,1,54,64,1284
28500,1,27,64,1302
29000,1,30,64,1319
29500,1,33,64,1341
30000,1,36,64,1358
30500,1,39,64,1393
31000,1,42,64,1424
31500,1,45,64,1454
32000,1,48,64,1471
32500,1,51,64,1487
33000,1,54,64,1503
33500,1,57,64,1520
34000,1,28,64,1540
34500,1,31,64,1555
35000,1,34,64,1571
35500,1,37,64,1593
36000,1,40,64,1611
36500,1,43,64,1626
37000,1,46,64,1642
37500,1,49,64,1657
38000,1,52,64,1678
38500,1,55,64,1700
39000,1,27,64,1717
39500,1,30,64,1733
40000,1,33,64,1747
40500,1,36,64,1762
41000,1,39,64,1777
41500,1,42,64,1794
42000,1,45,64,1810
42500,1,48,64,1828
43000,1,51,64,1844
43500,1,54,64,1859
44000,1,57,64,1874
44500,1,28,64,1894
45000,1,31,64,1912
45500,1,34,64,1929
46000,1,37,64,1949
46500,1,40,64,1966
47000,1,43,64,1980
47500,1,46,64,1995
48000,1,48,64,2011
48500,1,51,64,2025
49000,1,54,64,2042
49500,1,57,64,2056
50000,1,28,64,2074
50500,1,31,64,2091
51000,1,34,64,2106
51500,1,37,64,2121
52000,1,40,64,2137
52500,1,43,64,2152
53000,1,46,64,2167
53500,1,49,64,2183
54000,1,52,64,2201
54500,1,54,64,2216
55000,1,57,64,2230
55500,1,28,64,2251
56000,1,31,64,2266
56500,1,34,64,2280
57000,1,36,64,2295
57500,1,39,64,2405
58000,1,42,64,2423
58500,1,45,64,2438
59000,1,48,64,2459
59500,1,51,64,2480
60000,1,54,64,2503
60500,1,57,64,2520
61000,1,27,64,2539
61500,1,30,64,2555
62000,1,33,64,2576
62500,1,36,64,2591
63000,1,39,64,2607
63500,1,42,64,2623
64000,1,45,64,2638
64500,1,48,64,2652
65000,1,50,64,2676
65500,1,53,64,2690
66000,1,56,64,2705
66500,1,27,64,2723
67000,1,30,64,2737
67500,1,33,64,2751
68000,1,36,64,2766
68500,1,39,64,2782
69000,1,42,64,2797
69500,1,45,64,2812
70000,1,47,64,2829
70500,1,50,64,2843
71000,1,53,64,2857
71500,1,56,64,2872
72000,1,27,64,2887
72500,1,30,64,2904
73000,1,33,64,2919
73500,1,36,64,2934
74000,1,39,64,2949
74500,1,42,64,2963
75000,1,44,64,2977
