count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
5000,1,47,64,252
10000,1,49,64,359
15000,1,48,64,446
20000,1,46,64,532
25000,1,45,64,624
30000,1,45,64,707
35000,1,45,64,822
40000,1,47,64,920
45000,1,46,64,1013
50000,1,47,64,1114
55000,1,48,64,1272
60000,1,49,64,1350
65000,1,49,64,1435
70000,1,48,64,1581
75000,1,47,64,1679
80000,1,48,64,1758
85000,1,48,64,1831
90000,1,49,64,1910
95000,1,49,64,1986
100000,1,48,64,2217
105000,1,48,64,2306
110000,1,48,64,2387
115000,1,48,64,2660
118122,1,41,64,2749
