count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,105
2000,1,36,64,155
3000,1,42,64,212
4000,1,47,64,276
5000,1,28,64,312
6000,1,34,64,345
7000,1,40,64,379
8000,1,46,64,411
9000,1,51,64,439
10000,1,29,64,478
11000,1,35,64,518
12000,1,41,64,543
13000,1,46,64,568
14000,1,52,64,598
15000,1,29,64,624
16000,1,34,64,653
17000,1,39,64,681
18000,1,45,64,707
19000,1,50,64,733
20000,1,56,64,760
21000,1,31,64,787
22000,1,37,64,811
23000,1,42,64,835
24000,1,47,64,863
25000,1,53,64,887
26000,1,28,64,914
27000,1,33,64,938
28000,1,39,64,961
29000,1,45,64,986
30000,1,50,64,1020
31000,1,56,64,1053
32000,1,30,64,1081
33000,1,35,64,1107
34000,1,40,64,1166
35000,1,46,64,1190
36000,1,51,64,1215
37000,1,57,64,1243
38000,1,30,64,1268
39000,1,36,64,1331
40000,1,41,64,1357
41000,1,47,64,1387
42000,1,52,64,1436
43000,1,57,64,1463
44000,1,30,64,1486
45000,1,35,64,1532
46000,1,41,64,1575
47000,1,46,64,1596
48000,1,52,64,1620
49000,1,57,64,1642
50000,1,29,64,1665
51000,1,34,64,1686
52000,1,40,64,1707
53000,1,45,64,1762
54000,1,51,64,1785
55000,1,56,64,1814
56000,1,29,64,1840
57000,1,35,64,1862
58000,1,39,64,1882
59000,1,45,64,1902
60000,1,50,64,1922
61000,1,56,64,1945
62000,1,28,64,2024
63000,1,33,64,2048
64000,1,39,64,2070
65000,1,44,64,2092
66000,1,50,64,2112
67000,1,55,64,2132
68000,1,28,64,2154
69000,1,33,64,2174
70000,1,39,64,2261
71000,1,44,64,2295
72000,1,50,64,2333
73000,1,55,64,2444
74000,1,28,64,2474
75000,1,34,64,2530
76000,1,39,64,2684
77000,1,45,64,2707
78000,1,50,64,2729
79000,1,55,64,2753
80000,1,29,64,2783
81000,1,34,64,2813
82000,1,40,64,2903
83000,1,45,64,2926
84000,1,50,64,2948
85000,1,56,64,2970
86000,1,28,64,2993
