count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
267000,1,40,64,7539
268000,1,46,64,7556
269000,1,51,64,7574
270000,1,57,64,7591
271000,1,30,64,7613
272000,1,35,64,7631
273000,1,40,64,7651
274000,1,46,64,7670
275000,1,51,64,7702
276000,1,57,64,7722
277000,1,29,64,7744
278000,1,35,64,7761
279000,1,40,64,7780
280000,1,46,64,7798
281000,1,51,64,7815
282000,1,56,64,7833
283000,1,29,64,7850
284000,1,35,64,7869
285000,1,40,64,7885
286000,1,45,64,7902
287000,1,51,64,7923
288000,1,56,64,7945
289000,1,29,64,7967
290000,1,35,64,7985
291000,1,40,64,8001
292000,1,45,64,8021
293000,1,51,64,8040
294000,1,56,64,8060
295000,1,29,64,8079
296000,1,34,64,8099
297000,1,40,64,8118
298000,1,45,64,8138
299000,1,50,64,8156
300000,1,56,64,8173
301000,1,29,64,8192
302000,1,35,64,8209
303000,1,40,64,8226
304000,1,45,64,8243
305000,1,51,64,8261
306000,1,56,64,8279
307000,1,30,64,8298
308000,1,35,64,8317
309000,1,40,64,8338
310000,1,46,64,8359
311000,1,51,64,8381
312000,1,56,64,8398
313000,1,29,64,8415
314000,1,35,64,8442
315000,1,40,64,8464
316000,1,45,64,8484
317000,1,51,64,8505
318000,1,56,64,8527
319000,1,29,64,8548
320000,1,34,64,8567
321000,1,40,64,8585
322000,1,45,64,8603
323000,1,51,64,8623
324000,1,56,64,8643
325000,1,29,64,8667
326000,1,35,64,8689
327000,1,40,64,8708
328000,1,46,64,8731
329000,1,51,64,8752
330000,1,56,64,8770
331000,1,29,64,8790
332000,1,35,64,8808
333000,1,40,64,8827
334000,1,45,64,8846
335000,1,51,64,8864
336000,1,56,64,8887
337000,1,29,64,8908
338000,1,35,64,8926
339000,1,40,64,8945
340000,1,45,64,8966
341000,1,51,64,8989
342000,1,56,64,9013
343000,1,30,64,9032
344000,1,35,64,9052
345000,1,40,64,9070
346000,1,46,64,9090
347000,1,51,64,9110
348000,1,57,64,9133
349000,1,29,64,9154
350000,1,35,64,9175
351000,1,40,64,9196
352000,1,45,64,9217
353000,1,51,64,9235
354000,1,56,64,9254
355000,1,29,64,9276
356000,1,35,64,9293
357000,1,40,64,9312
358000,1,46,64,9328
359000,1,51,64,9349
360000,1,56,64,9370
361000,1,29,64,9388
362000,1,35,64,9405
363000,1,40,64,9421
364000,1,46,64,9444
365000,1,51,64,9466
366000,1,56,64,9483
367000,1,29,64,9502
368000,1,35,64,9522
369000,1,40,64,9540
370000,1,46,64,9556
371000,1,51,64,9574
372000,1,57,64,9591
373000,1,29,64,9608
374000,1,35,64,9624
375000,1,40,64,9641
376000,1,46,64,9659
377000,1,51,64,9676
378000,1,57,64,9692
379000,1,30,64,9709
380000,1,35,64,9728
381000,1,40,64,9747
382000,1,46,64,9766
383000,1,51,64,9782
384000,1,57,64,9801
385000,1,30,64,9817
386000,1,35,64,9833
387000,1,40,64,9851
388000,1,46,64,9869
389000,1,51,64,9887
390000,1,57,64,9905
391000,1,29,64,9926
392000,1,35,64,9943
393000,1,40,64,9960
394000,1,45,64,9978
395000,1,51,64,9997
396000,1,56,64,10014
397000,1,30,64,10034
398000,1,35,64,10050
399000,1,40,64,10067
400000,1,46,64,10087
401000,1,51,64,10106
402000,1,57,64,10127
403000,1,29,64,10147
404000,1,35,64,10164
405000,1,40,64,10181
406000,1,46,64,10200
407000,1,51,64,10219
408000,1,57,64,10240
409000,1,29,64,10258
410000,1,35,64,10274
411000,1,40,64,10291
412000,1,45,64,10311
413000,1,51,64,10327
414000,1,56,64,10344
415000,1,29,64,10363
416000,1,34,64,10382
417000,1,40,64,10400
418000,1,45,64,10417
419000,1,51,64,10440
420000,1,56,64,10460
421000,1,29,64,10481
422000,1,35,64,10500
423000,1,40,64,10520
424000,1,45,64,10543
425000,1,51,64,10565
426000,1,56,64,10585
427000,1,29,64,10606
428000,1,34,64,10624
429000,1,40,64,10641
430000,1,45,64,10658
431000,1,51,64,10677
432000,1,56,64,10697
433000,1,29,64,10717
434000,1,35,64,10733
435000,1,40,64,10750
436000,1,45,64,10769
437000,1,51,64,10786
438000,1,56,64,10803
439000,1,29,64,10824
440000,1,35,64,10842
441000,1,40,64,10860
442000,1,45,64,10878
443000,1,51,64,10895
444000,1,56,64,10912
445000,1,29,64,10931
446000,1,35,64,10948
447000,1,40,64,10968
448000,1,45,64,10986
449000,1,51,64,11004
450000,1,56,64,11021
451000,1,29,64,11042
452000,1,35,64,11062
453000,1,40,64,11082
454000,1,46,64,11102
455000,1,51,64,11123
456000,1,56,64,11143
457000,1,29,64,11163
458000,1,35,64,11182
459000,1,40,64,11201
460000,1,46,64,11222
461000,1,51,64,11241
462000,1,56,64,11261
463000,1,29,64,11281
464000,1,35,64,11301
465000,1,40,64,11321
466000,1,46,64,11342
467000,1,51,64,11361
468000,1,56,64,11381
469000,1,29,64,11403
470000,1,35,64,11424
471000,1,40,64,11446
472000,1,46,64,11466
473000,1,51,64,11484
474000,1,57,64,11501
475000,1,29,64,11518
476000,1,35,64,11538
477000,1,40,64,11558
478000,1,46,64,11576
479000,1,51,64,11592
480000,1,56,64,11609
481000,1,29,64,11633
482000,1,35,64,11651
483000,1,40,64,11669
484000,1,46,64,11687
485000,1,51,64,11703
486000,1,57,64,11719
487000,1,29,64,11736
488000,1,35,64,11754
489000,1,40,64,11772
490000,1,46,64,11787
491000,1,51,64,11804
492000,1,57,64,11820
493000,1,29,64,11838
494000,1,35,64,11855
495000,1,40,64,11871
496000,1,46,64,11887
497000,1,51,64,11905
498000,1,57,64,11923
499000,1,30,64,11943
500000,1,35,64,11959
501000,1,41,64,11975
502000,1,46,64,11993
503000,1,51,64,12011
504000,1,57,64,12030
505000,1,29,64,12050
506000,1,35,64,12066
507000,1,40,64,12087
508000,1,46,64,12113
509000,1,51,64,12139
510000,1,56,64,12160
511000,1,30,64,12180
512000,1,35,64,12198
513000,1,41,64,12216
514000,1,46,64,12234
515000,1,51,64,12252
516000,1,57,64,12269
517000,1,29,64,12286
518000,1,34,64,12303
519000,1,40,64,12324
520000,1,45,64,12342
521000,1,51,64,12359
522000,1,56,64,12376
523000,1,29,64,12396
524000,1,35,64,12414
525000,1,40,64,12435
526000,1,46,64,12455
527000,1,51,64,12475
528000,1,56,64,12493
529000,1,29,64,12512
530000,1,35,64,12528
531000,1,40,64,12545
532000,1,45,64,12561
533000,1,51,64,12578
534000,1,56,64,12596
535000,1,30,64,12615
536000,1,35,64,12631
537000,1,40,64,12648
538000,1,46,64,12663
539000,1,51,64,12681
540000,1,56,64,12698
541000,1,29,64,12715
542000,1,35,64,12731
543000,1,40,64,12748
544000,1,45,64,12764
545000,1,51,64,12780
546000,1,56,64,12795
547000,1,30,64,12813
548000,1,35,64,12829
549000,1,40,64,12844
550000,1,46,64,12859
551000,1,51,64,12876
552000,1,56,64,12892
553000,1,29,64,12910
554000,1,35,64,12928
555000,1,40,64,12945
556000,1,45,64,12961
557000,1,51,64,12976
558000,1,56,64,12992
559000,1,30,64,13009
560000,1,35,64,13024
561000,1,40,64,13042
562000,1,45,64,13058
563000,1,51,64,13074
564000,1,56,64,13091
565000,1,30,64,13113
566000,1,35,64,13136
567000,1,40,64,13153
568000,1,46,64,13170
569000,1,51,64,13187
570000,1,56,64,13204
571000,1,29,64,13222
572000,1,35,64,13240
573000,1,40,64,13257
574000,1,46,64,13275
