count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,27,32,114
2000,1,28,32,176
3000,1,28,32,231
4000,1,29,32,297
5000,1,29,32,335
6000,1,29,32,378
7000,1,29,32,420
8000,1,29,32,457
9000,1,29,32,491
10000,1,28,32,531
11000,1,30,32,566
12000,1,26,32,622
13000,1,27,32,650
14000,1,27,32,692
15000,1,27,32,721
16000,1,28,32,749
17000,1,26,32,781
18000,1,26,32,813
19000,1,28,32,841
20000,1,28,32,873
21000,1,28,32,900
22000,1,27,32,933
23000,1,27,32,968
24000,1,27,32,1003
25000,1,28,32,1033
26000,1,27,32,1063
27000,1,28,32,1092
28000,1,27,32,1121
29000,1,27,32,1159
30000,1,28,32,1190
31000,1,27,32,1224
32000,1,26,32,1258
33000,1,26,32,1292
34000,1,27,32,1366
35000,1,28,32,1397
36000,1,28,32,1432
37000,1,27,32,1463
38000,1,28,32,1492
39000,1,28,32,1542
40000,1,27,32,1569
41000,1,27,32,1620
42000,1,27,32,1650
43000,1,28,32,1682
44000,1,28,32,1711
45000,1,27,32,1743
46000,1,28,32,1770
47000,1,28,32,1798
48000,1,27,32,1825
49000,1,27,32,1892
50000,1,27,32,1919
51000,1,28,32,1947
52000,1,27,32,1977
53000,1,27,32,2010
54000,1,28,32,2038
55000,1,27,32,2069
56000,1,27,32,2099
57000,1,27,32,2127
58000,1,27,32,2210
59000,1,28,32,2249
60000,1,28,32,2281
61000,1,27,32,2311
62000,1,28,32,2347
63000,1,27,32,2384
64000,1,27,32,2415
65000,1,27,32,2527
66000,1,28,32,2558
67000,1,28,32,2590
68000,1,27,32,2619
69000,1,27,32,2645
70000,1,27,32,2676
71000,1,28,32,2702
72000,1,27,32,2730
73000,1,27,32,2758
74000,1,28,32,2787
75000,1,28,32,2895
76000,1,28,32,2935
77000,1,27,32,2965
78000,1,27,32,2993
79000,1,27,32,3019
80000,1,27,32,3046
81000,1,27,32,3073
82000,1,27,32,3097
83000,1,27,32,3125
84000,1,27,32,3242
85000,1,27,32,3267
86000,1,27,32,3296
87000,1,28,32,3326
88000,1,26,32,3357
89000,1,27,32,3380
90000,1,27,32,3417
91000,1,27,32,3447
92000,1,27,32,3569
93000,1,26,32,3615
94000,1,27,32,3638
95000,1,27,32,3665
96000,1,27,32,3692
97000,1,27,32,3718
98000,1,28,32,3748
99000,1,28,32,3775
100000,1,27,32,3804
101000,1,27,32,3833
102000,1,28,32,3863
103000,1,28,32,3890
104000,1,27,32,3915
105000,1,27,32,3943
106000,1,27,32,3979
107000,1,28,32,4010
108000,1,28,32,4040
109000,1,27,32,4070
110000,1,28,32,4134
111000,1,27,32,4187
112000,1,27,32,4228
113000,1,28,32,4274
114000,1,27,32,4311
115000,1,27,32,4348
116000,1,28,32,4387
117000,1,28,32,4421
118000,1,27,32,4456
118122,1,27,32,4472
