count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
100,1,31,64,53
200,1,32,64,80
300,1,26,64,110
400,1,27,64,138
500,1,28,64,157
600,1,29,64,186
700,1,30,64,205
800,1,31,64,221
900,1,32,64,243
1000,1,33,64,259
1100,1,34,64,284
1200,1,35,64,301
1300,1,37,64,321
1400,1,37,64,346
1500,1,38,64,360
1600,1,39,64,375
1700,1,40,64,398
1800,1,41,64,414
1900,1,42,64,431
2000,1,43,64,445
2100,1,44,64,459
2200,1,45,64,475
2300,1,46,64,489
2400,1,47,64,508
2500,1,48,64,519
2600,1,49,64,535
2700,1,50,64,547
2800,1,51,64,560
2900,1,52,64,575
3000,1,53,64,592
3100,1,27,64,625
3200,1,28,64,641
3300,1,29,64,706
3400,1,30,64,723
3500,1,31,64,739
3600,1,32,64,753
3700,1,33,64,774
3800,1,34,64,790
3900,1,35,64,806
4000,1,35,64,819
4100,1,36,64,832
4200,1,37,64,846
4300,1,38,64,863
4400,1,40,64,880
4500,1,40,64,899
4600,1,41,64,917
4700,1,42,64,933
4800,1,43,64,949
4900,1,44,64,964
5000,1,45,64,984
5100,1,46,64,1096
5200,1,47,64,1140
5300,1,48,64,1166
5400,1,49,64,1336
5500,1,50,64,1369
5600,1,51,64,1393
5700,1,52,64,1423
5800,1,52,64,1454
5900,1,53,64,1476
6000,1,27,64,1525
6100,1,28,64,1675
6200,1,29,64,1707
6300,1,30,64,1777
6400,1,31,64,1812
6500,1,32,64,1841
6600,1,33,64,1870
6700,1,34,64,1893
6800,1,35,64,1950
6900,1,36,64,2003
7000,1,37,64,2053
7100,1,38,64,2093
7200,1,39,64,2133
7300,1,40,64,2164
7400,1,40,64,2205
7500,1,41,64,2225
7600,1,42,64,2250
7700,1,43,64,2282
7800,1,44,64,2324
7900,1,45,64,2358
8000,1,46,64,2376
8100,1,47,64,2395
8200,1,48,64,2411
8300,1,49,64,2442
8400,1,50,64,2463
8500,1,51,64,2485
8600,1,51,64,2512
8700,1,52,64,2531
8800,1,53,64,2554
8900,1,54,64,2578
9000,1,28,64,2609
9100,1,29,64,2624
9200,1,30,64,2642
9300,1,31,64,2656
9400,1,31,64,2672
9500,1,32,64,2750
9600,1,33,64,2782
9700,1,34,64,2821
9800,1,35,64,2848
9900,1,36,64,2880
10000,1,37,64,2910
10100,1,38,64,2939
10200,1,39,64,2963
10300,1,40,64,2980
10400,1,40,64,3002
10500,1,42,64,3030
10600,1,42,64,3059
10700,1,43,64,3084
10800,1,44,64,3106
10900,1,45,64,3118
11000,1,46,64,3138
11100,1,47,64,3154
11200,1,48,64,3178
11300,1,49,64,3203
11400,1,50,64,3223
11500,1,51,64,3240
11600,1,51,64,3255
11700,1,52,64,3284
11800,1,53,64,3307
11900,1,54,64,3330
12000,1,55,64,3358
12100,1,56,64,3380
12200,1,27,64,3409
12300,1,28,64,3434
12400,1,29,64,3459
12500,1,30,64,3487
12600,1,31,64,3517
12700,1,32,64,3537
12800,1,33,64,3563
12900,1,34,64,3586
13000,1,35,64,3612
13100,1,35,64,3650
13200,1,36,64,3679
13300,1,37,64,3707
13400,1,38,64,3730
13500,1,39,64,3756
13600,1,40,64,3785
13700,1,41,64,3808
13800,1,42,64,3830
13900,1,43,64,3857
14000,1,44,64,3882
14100,1,44,64,3918
14200,1,45,64,3944
14300,1,46,64,3961
14400,1,47,64,3987
14500,1,48,64,4012
14600,1,49,64,4045
14700,1,50,64,4066
14800,1,51,64,4089
14900,1,52,64,4116
15000,1,52,64,4135
15100,1,53,64,4158
15200,1,54,64,4187
15300,1,55,64,4215
15400,1,28,64,4255
15500,1,28,64,4276
15600,1,29,64,4301
15700,1,30,64,4329
15800,1,31,64,4369
15900,1,32,64,4404
16000,1,33,64,4439
16100,1,34,64,4475
16200,1,35,64,4495
16300,1,36,64,4514
16400,1,36,64,4533
16500,1,37,64,4549
16600,1,38,64,4566
16700,1,39,64,4590
16800,1,40,64,4613
16900,1,41,64,4632
17000,1,42,64,4652
17100,1,43,64,4672
17200,1,44,64,4692
17300,1,44,64,4714
17400,1,45,64,4731
17500,1,46,64,4758
17600,1,47,64,4785
17700,1,48,64,4833
17800,1,49,64,4880
17900,1,50,64,4921
18000,1,51,64,4957
18100,1,52,64,5004
18200,1,52,64,5050
18300,1,53,64,5104
18400,1,54,64,5133
18500,1,55,64,5177
18600,1,56,64,5222
18700,1,57,64,5257
18800,1,28,64,5273
18900,1,29,64,5287
19000,1,30,64,5301
19100,1,30,64,5314
19200,1,31,64,5326
19300,1,32,64,5336
19400,1,33,64,5351
19500,1,34,64,5365
19600,1,35,64,5375
19700,1,36,64,5387
19800,1,37,64,5399
19900,1,38,64,5410
20000,1,39,64,5420
20100,1,39,64,5432
20200,1,40,64,5443
20300,1,41,64,5453
20400,1,42,64,5464
20500,1,43,64,5473
20600,1,44,64,5483
20700,1,45,64,5492
20800,1,46,64,5502
20900,1,47,64,5511
21000,1,47,64,5520
21100,1,48,64,5530
21200,1,49,64,5540
21300,1,50,64,5551
21400,1,51,64,5561
21500,1,52,64,5570
21600,1,53,64,5580
21700,1,54,64,5589
21800,1,55,64,5599
21900,1,55,64,5609
22000,1,56,64,5618
22100,1,27,64,5631
22200,1,28,64,5641
22300,1,29,64,5650
22400,1,30,64,5661
22500,1,31,64,5671
22600,1,32,64,5684
22700,1,33,64,5694
22800,1,34,64,5704
22900,1,34,64,5716
23000,1,35,64,5727
23100,1,36,64,5747
23200,1,37,64,5758
23300,1,38,64,5769
23400,1,39,64,5778
23500,1,40,64,5787
23600,1,41,64,5801
23700,1,42,64,5810
23800,1,42,64,5821
23900,1,43,64,5831
24000,1,44,64,5840
24100,1,45,64,5850
24200,1,46,64,5862
24300,1,47,64,5872
24400,1,48,64,5882
24500,1,49,64,5892
24600,1,50,64,5906
24700,1,51,64,5923
24800,1,51,64,5940
24900,1,52,64,5951
25000,1,53,64,5964
25100,1,54,64,5975
25200,1,55,64,5989
25300,1,56,64,6003
25400,1,57,64,6020
25500,1,28,64,6031
25600,1,29,64,6040
25700,1,30,64,6049
25800,1,31,64,6059
25900,1,31,64,6070
26000,1,32,64,6080
26100,1,33,64,6089
26200,1,34,64,6098
26300,1,35,64,6108
26400,1,36,64,6119
26500,1,37,64,6130
26600,1,38,64,6140
26700,1,39,64,6151
26800,1,39,64,6161
26900,1,40,64,6171
27000,1,41,64,6182
27100,1,42,64,6193
27200,1,43,64,6202
27300,1,44,64,6215
27400,1,45,64,6226
27500,1,46,64,6236
27600,1,47,64,6247
27700,1,48,64,6257
27800,1,48,64,6267
27900,1,49,64,6277
28000,1,50,64,6288
28100,1,51,64,6297
28200,1,52,64,6307
28300,1,53,64,6316
28400,1,54,64,6326
28500,1,55,64,6336
28600,1,56,64,6345
28700,1,57,64,6356
28800,1,27,64,6366
28900,1,28,64,6376
29000,1,29,64,6385
29100,1,30,64,6396
29200,1,31,64,6409
29300,1,32,64,6420
29400,1,33,64,6430
29500,1,34,64,6453
29600,1,35,64,6465
29700,1,35,64,6476
29800,1,36,64,6486
29900,1,37,64,6496
30000,1,38,64,6505
30100,1,39,64,6515
30200,1,40,64,6525
30300,1,41,64,6538
30400,1,42,64,6549
30500,1,43,64,6564
30600,1,44,64,6575
30700,1,44,64,6584
30800,1,45,64,6594
30900,1,46,64,6606
31000,1,47,64,6615
31100,1,48,64,6624
31200,1,49,64,6635
31300,1,50,64,6648
31400,1,51,64,6659
31500,1,52,64,6668
31600,1,52,64,6679
31700,1,53,64,6689
31800,1,54,64,6700
31900,1,55,64,6711
32000,1,56,64,6720
32100,1,57,64,6731
32200,1,58,64,6740
32300,1,28,64,6752
32400,1,29,64,6764
32500,1,30,64,6773
32600,1,30,64,6784
32700,1,31,64,6795
32800,1,32,64,6804
32900,1,33,64,6812
33000,1,34,64,6822
33100,1,35,64,6831
