count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,28,256,124
2000,1,34,256,175
3000,1,40,256,219
4000,1,46,256,274
5000,1,52,256,306
6000,1,58,256,338
7000,1,29,256,378
8000,1,36,256,411
9000,1,41,256,453
10000,1,47,256,498
11000,1,53,256,532
12000,1,59,256,581
13000,1,64,256,635
14000,1,70,256,672
15000,1,75,256,714
16000,1,81,256,756
17000,1,86,256,788
18000,1,92,256,817
19000,1,98,256,848
20000,1,103,256,877
21000,1,109,256,906
22000,1,114,256,940
23000,1,120,256,976
24000,1,125,256,1012
25000,1,131,256,1047
26000,1,136,256,1081
27000,1,141,256,1112
28000,1,147,256,1143
29000,1,152,256,1172
30000,1,158,256,1208
31000,1,163,256,1240
32000,1,169,256,1268
33000,1,31,256,1313
34000,1,36,256,1394
35000,1,42,256,1434
36000,1,48,256,1484
37000,1,53,256,1520
38000,1,59,256,1559
39000,1,64,256,1592
40000,1,70,256,1631
41000,1,75,256,1681
42000,1,80,256,1719
43000,1,86,256,1752
44000,1,91,256,1794
45000,1,96,256,1825
46000,1,102,256,1864
47000,1,107,256,1905
48000,1,113,256,1937
49000,1,118,256,1962
50000,1,124,256,2013
51000,1,129,256,2061
52000,1,135,256,2094
53000,1,140,256,2136
54000,1,146,256,2170
55000,1,151,256,2199
56000,1,157,256,2235
57000,1,162,256,2261
58000,1,168,256,2289
59000,1,30,256,2323
60000,1,35,256,2356
61000,1,41,256,2390
62000,1,46,256,2449
63000,1,52,256,2583
64000,1,57,256,2620
65000,1,63,256,2648
66000,1,69,256,2736
67000,1,73,256,2765
68000,1,79,256,2793
69000,1,84,256,2834
70000,1,90,256,2866
71000,1,96,256,2896
72000,1,100,256,2931
73000,1,106,256,2962
74000,1,111,256,2988
75000,1,117,256,3017
76000,1,122,256,3048
77000,1,128,256,3075
78000,1,133,256,3108
79000,1,139,256,3219
80000,1,144,256,3259
81000,1,149,256,3302
82000,1,155,256,3356
83000,1,160,256,3383
84000,1,166,256,3407
85000,1,29,256,3460
86000,1,34,256,3501
87000,1,40,256,3544
88000,1,45,256,3583
89000,1,50,256,3624
90000,1,56,256,3654
91000,1,61,256,3687
92000,1,67,256,3709
93000,1,72,256,3733
94000,1,78,256,3754
95000,1,83,256,3774
96000,1,88,256,3797
97000,1,94,256,3819
98000,1,99,256,3841
99000,1,105,256,3861
100000,1,110,256,3884
101000,1,116,256,3908
102000,1,121,256,3930
103000,1,126,256,3951
104000,1,132,256,3973
105000,1,137,256,3993
106000,1,143,256,4017
107000,1,148,256,4038
108000,1,154,256,4059
109000,1,159,256,4080
110000,1,164,256,4104
111000,1,170,256,4126
112000,1,31,256,4314
113000,1,37,256,4338
114000,1,42,256,4360
115000,1,47,256,4380
116000,1,53,256,4418
117000,1,58,256,4458
118000,1,64,256,4489
118122,1,65,256,4502
