count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,102
2000,1,36,64,148
3000,1,42,64,191
4000,1,47,64,242
5000,1,27,64,276
6000,1,33,64,304
7000,1,39,64,345
8000,1,45,64,372
9000,1,50,64,408
10000,1,29,64,440
11000,1,34,64,466
12000,1,40,64,492
13000,1,46,64,517
14000,1,51,64,545
15000,1,28,64,573
16000,1,34,64,600
17000,1,39,64,626
18000,1,45,64,649
19000,1,51,64,674
20000,1,28,64,701
21000,1,34,64,726
22000,1,39,64,750
23000,1,45,64,775
24000,1,50,64,807
25000,1,28,64,834
26000,1,33,64,858
27000,1,39,64,884
28000,1,44,64,909
29000,1,50,64,935
30000,1,27,64,964
31000,1,33,64,990
32000,1,38,64,1014
33000,1,44,64,1038
34000,1,49,64,1097
35000,1,55,64,1122
36000,1,31,64,1149
37000,1,36,64,1172
38000,1,42,64,1196
39000,1,47,64,1220
40000,1,52,64,1246
41000,1,28,64,1273
42000,1,33,64,1301
43000,1,39,64,1342
44000,1,44,64,1380
45000,1,50,64,1414
46000,1,55,64,1440
47000,1,29,64,1464
48000,1,35,64,1489
49000,1,40,64,1513
50000,1,46,64,1540
51000,1,51,64,1561
52000,1,57,64,1583
53000,1,30,64,1605
54000,1,36,64,1632
55000,1,41,64,1653
56000,1,46,64,1676
57000,1,52,64,1701
58000,1,57,64,1722
59000,1,31,64,1744
60000,1,36,64,1767
61000,1,41,64,1789
62000,1,47,64,1811
63000,1,52,64,1834
64000,1,58,64,1861
65000,1,30,64,1892
66000,1,36,64,1917
67000,1,41,64,1941
68000,1,46,64,1969
69000,1,52,64,2002
70000,1,57,64,2031
71000,1,30,64,2152
72000,1,35,64,2174
73000,1,40,64,2196
74000,1,46,64,2217
75000,1,51,64,2238
76000,1,57,64,2259
77000,1,29,64,2282
78000,1,34,64,2304
79000,1,40,64,2345
80000,1,45,64,2394
81000,1,51,64,2422
82000,1,56,64,2460
83000,1,29,64,2495
84000,1,34,64,2520
85000,1,40,64,2542
86000,1,45,64,2563
87000,1,51,64,2587
88000,1,56,64,2607
89000,1,29,64,2627
90000,1,35,64,2647
91000,1,40,64,2671
92000,1,45,64,2692
93000,1,51,64,2718
94000,1,56,64,2750
95000,1,29,64,2771
96000,1,34,64,2792
97000,1,40,64,2812
98000,1,45,64,2836
99000,1,51,64,2856
100000,1,56,64,2879
101000,1,29,64,2902
102000,1,35,64,2928
103000,1,40,64,2948
104000,1,45,64,2969
105000,1,51,64,2988
106000,1,56,64,3011
107000,1,29,64,3031
108000,1,35,64,3053
109000,1,40,64,3231
110000,1,46,64,3254
111000,1,51,64,3277
112000,1,57,64,3298
113000,1,29,64,3335
114000,1,35,64,3374
115000,1,40,64,3413
116000,1,46,64,3449
117000,1,51,64,3497
118000,1,56,64,3524
118122,1,57,64,3539
