count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,29,128,104
2000,1,35,128,149
3000,1,41,128,193
4000,1,47,128,245
5000,1,53,128,276
6000,1,59,128,313
7000,1,31,128,349
8000,1,37,128,377
9000,1,43,128,403
10000,1,48,128,453
11000,1,54,128,478
12000,1,60,128,503
13000,1,65,128,531
14000,1,71,128,567
15000,1,76,128,598
16000,1,82,128,638
17000,1,88,128,665
18000,1,93,128,692
19000,1,99,128,719
20000,1,30,128,757
21000,1,36,128,786
22000,1,41,128,819
23000,1,47,128,862
24000,1,52,128,892
25000,1,58,128,923
26000,1,63,128,951
27000,1,69,128,983
28000,1,75,128,1011
29000,1,80,128,1036
30000,1,86,128,1063
31000,1,91,128,1088
32000,1,96,128,1114
33000,1,29,128,1138
34000,1,34,128,1200
35000,1,40,128,1224
36000,1,45,128,1254
37000,1,51,128,1277
38000,1,56,128,1301
39000,1,62,128,1324
40000,1,67,128,1391
41000,1,73,128,1416
42000,1,78,128,1473
43000,1,84,128,1503
44000,1,89,128,1527
45000,1,94,128,1548
46000,1,100,128,1589
47000,1,31,128,1612
48000,1,36,128,1636
49000,1,42,128,1658
50000,1,47,128,1683
51000,1,53,128,1739
52000,1,58,128,1761
53000,1,64,128,1782
54000,1,69,128,1807
55000,1,74,128,1828
56000,1,80,128,1855
57000,1,85,128,1877
58000,1,91,128,1898
59000,1,96,128,1921
60000,1,28,128,1944
61000,1,34,128,1965
62000,1,39,128,2035
63000,1,45,128,2058
64000,1,50,128,2082
65000,1,56,128,2102
66000,1,61,128,2124
67000,1,66,128,2146
68000,1,72,128,2236
69000,1,77,128,2258
70000,1,83,128,2286
71000,1,88,128,2308
72000,1,93,128,2386
73000,1,99,128,2409
74000,1,30,128,2455
75000,1,35,128,2539
76000,1,41,128,2564
77000,1,46,128,2588
78000,1,51,128,2611
79000,1,57,128,2642
80000,1,62,128,2807
81000,1,68,128,2830
82000,1,73,128,2855
83000,1,78,128,2876
84000,1,84,128,2898
85000,1,89,128,2919
86000,1,95,128,2940
87000,1,28,128,2964
88000,1,33,128,2987
89000,1,39,128,3009
90000,1,44,128,3031
91000,1,50,128,3146
92000,1,55,128,3171
93000,1,61,128,3196
94000,1,66,128,3219
95000,1,72,128,3240
96000,1,77,128,3367
97000,1,82,128,3391
98000,1,87,128,3414
99000,1,93,128,3461
100000,1,98,128,3498
101000,1,30,128,3537
102000,1,35,128,3579
103000,1,41,128,3609
104000,1,46,128,3630
105000,1,52,128,3651
106000,1,57,128,3676
107000,1,62,128,3698
108000,1,68,128,3720
109000,1,73,128,3741
110000,1,79,128,3761
111000,1,84,128,3785
112000,1,90,128,3807
113000,1,95,128,3830
114000,1,28,128,3855
115000,1,33,128,3877
116000,1,39,128,3899
117000,1,44,128,3920
118000,1,50,128,3941
118122,1,51,128,3952
119122,2,57,128,3977
120122,2,62,128,3996
121122,2,68,128,4021
122122,2,73,128,4041
123122,2,78,128,4075
124122,2,84,128,4106
125122,2,89,128,4130
126122,2,95,128,4158
127122,2,100,128,4178
128122,2,31,128,4198
129122,2,36,128,4217
130122,2,42,128,4237
131122,2,47,128,4255
132122,2,53,128,4273
133122,2,58,128,4293
134122,2,64,128,4311
135122,2,69,128,4335
136122,2,74,128,4353
137122,2,80,128,4370
138122,2,85,128,4386
139122,2,91,128,4403
140122,2,96,128,4421
141122,2,29,128,4445
142122,2,34,128,4467
143122,2,40,128,4490
144122,2,45,128,4513
145122,2,50,128,4531
146122,2,56,128,4548
147122,2,61,128,4568
148122,2,67,128,4587
149122,2,72,128,4604
150122,2,78,128,4627
151122,2,83,128,4644
152122,2,89,128,4662
153122,2,94,128,4680
154122,2,99,128,4697
155122,2,31,128,4716
156122,2,36,128,4737
157122,2,42,128,4755
158122,2,47,128,4775
159122,2,53,128,4795
160122,2,58,128,4813
161122,2,63,128,4830
162122,2,69,128,4849
163122,2,74,128,4868
164122,2,79,128,4888
165122,2,85,128,4906
166122,2,90,128,4925
167122,2,96,128,4942
168122,2,29,128,4963
169122,2,34,128,4981
170122,2,39,128,5001
171122,2,45,128,5017
172122,2,50,128,5034
173122,2,56,128,5050
174122,2,61,128,5067
175122,2,66,128,5083
176122,2,72,128,5100
177122,2,77,128,5117
178122,2,82,128,5133
179122,2,88,128,5150
180122,2,93,128,5173
181122,2,99,128,5196
182122,2,30,128,5224
183122,2,35,128,5251
184122,2,41,128,5294
185122,2,46,128,5370
186122,2,51,128,5405
187122,2,57,128,5456
188122,2,62,128,5509
189122,2,68,128,5547
190122,2,73,128,5573
191122,2,78,128,5609
192122,2,84,128,5637
193122,2,89,128,5666
194122,2,94,128,5690
195122,2,100,128,5708
196122,2,31,128,5737
197122,2,36,128,5763
198122,2,42,128,5782
199122,2,47,128,5803
200122,2,52,128,5830
201122,2,58,128,5917
202122,2,63,128,5956
203122,2,68,128,5989
204122,2,74,128,6023
205122,2,79,128,6055
206122,2,85,128,6078
207122,2,90,128,6102
208122,2,96,128,6125
209122,2,28,128,6145
210122,2,34,128,6165
211122,2,39,128,6186
212122,2,45,128,6205
213122,2,50,128,6223
214122,2,55,128,6242
215122,2,61,128,6316
216122,2,66,128,6409
217122,2,72,128,6448
218122,2,77,128,6496
219122,2,82,128,6535
220122,2,88,128,6571
221122,2,93,128,6605
222122,2,99,128,6633
223122,2,30,128,6672
224122,2,36,128,6710
225122,2,41,128,6751
226122,2,46,128,6807
227122,2,52,128,6861
228122,2,57,128,6916
229122,2,63,128,6950
230122,2,68,128,6987
231122,2,73,128,7020
232122,2,79,128,7052
233122,2,84,128,7085
234122,2,90,128,7117
235122,2,95,128,7139
236122,2,28,128,7168
236244,2,29,128,7181
237244,3,35,128,7207
238244,3,40,128,7224
239244,3,45,128,7240
240244,3,51,128,7258
241244,3,56,128,7280
242244,3,62,128,7299
243244,3,67,128,7319
244244,3,73,128,7336
245244,3,78,128,7354
246244,3,83,128,7372
247244,3,89,128,7395
248244,3,94,128,7414
249244,3,100,128,7442
250244,3,31,128,7466
251244,3,36,128,7490
252244,3,41,128,7513
253244,3,47,128,7531
254244,3,52,128,7550
255244,3,58,128,7568
256244,3,63,128,7583
257244,3,68,128,7599
258244,3,74,128,7616
259244,3,79,128,7636
260244,3,85,128,7653
261244,3,90,128,7670
262244,3,96,128,7694
263244,3,28,128,7713
264244,3,34,128,7729
265244,3,39,128,7745
266244,3,44,128,7762
267244,3,50,128,7779
268244,3,55,128,7795
269244,3,61,128,7817
270244,3,67,128,7835
271244,3,72,128,7853
272244,3,77,128,7872
273244,3,82,128,7889
274244,3,88,128,7906
275244,3,93,128,7922
276244,3,99,128,7938
277244,3,30,128,7955
278244,3,35,128,7973
279244,3,41,128,7990
280244,3,46,128,8008
281244,3,52,128,8026
282244,3,57,128,8047
283244,3,62,128,8067
284244,3,68,128,8086
285244,3,73,128,8102
286244,3,79,128,8118
287244,3,84,128,8135
288244,3,89,128,8153
289244,3,95,128,8169
290244,3,28,128,8190
291244,3,33,128,8207
292244,3,38,128,8224
293244,3,44,128,8242
294244,3,49,128,8258
295244,3,55,128,8276
296244,3,60,128,8293
297244,3,65,128,8309
298244,3,71,128,8329
299244,3,76,128,8346
300244,3,81,128,8362
301244,3,87,128,8379
302244,3,92,128,8397
303244,3,98,128,8414
304244,3,29,128,8442
305244,3,34,128,8466
306244,3,40,128,8487
307244,3,45,128,8507
308244,3,50,128,8527
309244,3,56,128,8549
310244,3,61,128,8568
311244,3,67,128,8585
312244,3,72,128,8602
313244,3,77,128,8621
314244,3,83,128,8638
315244,3,88,128,8656
316244,3,93,128,8674
317244,3,99,128,8692
318244,3,30,128,8712
319244,3,35,128,8729
320244,3,41,128,8745
321244,3,46,128,8763
322244,3,51,128,8781
323244,3,57,128,8799
324244,3,62,128,8817
325244,3,67,128,8834
326244,3,73,128,8850
327244,3,78,128,8868
328244,3,84,128,8884
329244,3,89,128,8904
330244,3,94,128,8922
331244,3,100,128,8939
332244,3,31,128,8960
333244,3,36,128,8978
334244,3,41,128,8995
335244,3,47,128,9013
336244,3,52,128,9032
337244,3,58,128,9050
338244,3,63,128,9068
339244,3,69,128,9089
340244,3,74,128,9110
341244,3,79,128,9136
342244,3,85,128,9155
343244,3,90,128,9175
344244,3,96,128,9192
345244,3,29,128,9213
346244,3,34,128,9231
347244,3,39,128,9250
348244,3,45,128,9272
349244,3,50,128,9290
350244,3,56,128,9309
351244,3,61,128,9331
352244,3,67,128,9352
353244,3,72,128,9370
354244,3,77,128,9389
354366,3,78,128,9398
355366,4,84,128,9419
356366,4,89,128,9440
357366,4,95,128,9458
358366,4,28,128,9479
359366,4,33,128,9499
360366,4,39,128,9517
361366,4,44,128,9535
362366,4,49,128,9552
363366,4,55,128,9568
364366,4,60,128,9585
365366,4,66,128,9603
366366,4,71,128,9621
367366,4,77,128,9637
368366,4,82,128,9654
369366,4,87,128,9672
370366,4,93,128,9688
371366,4,98,128,9704
372366,4,30,128,9720
373366,4,35,128,9737
374366,4,40,128,9754
375366,4,46,128,9771
376366,4,51,128,9787
377366,4,57,128,9802
378366,4,62,128,9819
379366,4,68,128,9837
380366,4,73,128,9855
381366,4,78,128,9873
382366,4,84,128,9889
383366,4,89,128,9905
384366,4,95,128,9921
385366,4,100,128,9937
386366,4,31,128,9955
387366,4,37,128,9972
388366,4,42,128,9989
389366,4,47,128,10007
390366,4,53,128,10023
391366,4,58,128,10039
392366,4,64,128,10055
393366,4,69,128,10072
394366,4,75,128,10088
395366,4,80,128,10105
396366,4,85,128,10121
397366,4,91,128,10138
398366,4,96,128,10156
399366,4,28,128,10178
