count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,103
2000,1,36,64,149
3000,1,42,64,205
4000,1,48,64,260
5000,1,29,64,295
6000,1,34,64,327
7000,1,41,64,362
8000,1,46,64,389
9000,1,52,64,417
10000,1,30,64,447
11000,1,36,64,474
12000,1,41,64,513
13000,1,47,64,539
14000,1,52,64,567
15000,1,30,64,599
16000,1,36,64,633
17000,1,41,64,665
18000,1,47,64,690
19000,1,52,64,716
20000,1,29,64,767
21000,1,34,64,800
22000,1,40,64,832
23000,1,45,64,864
24000,1,51,64,899
25000,1,28,64,949
26000,1,33,64,998
27000,1,39,64,1040
28000,1,44,64,1107
29000,1,50,64,1146
30000,1,28,64,1180
31000,1,33,64,1216
32000,1,38,64,1257
33000,1,44,64,1284
34000,1,50,64,1386
35000,1,55,64,1414
36000,1,31,64,1449
37000,1,36,64,1521
38000,1,42,64,1553
39000,1,47,64,1581
40000,1,53,64,1605
41000,1,28,64,1643
42000,1,34,64,1715
43000,1,39,64,1755
44000,1,45,64,1783
45000,1,50,64,1807
46000,1,56,64,1853
47000,1,30,64,1880
48000,1,35,64,1908
49000,1,40,64,1935
50000,1,46,64,1961
51000,1,51,64,1981
52000,1,57,64,2012
53000,1,30,64,2034
54000,1,36,64,2058
55000,1,41,64,2082
56000,1,47,64,2106
57000,1,52,64,2128
58000,1,57,64,2150
59000,1,31,64,2171
60000,1,36,64,2194
61000,1,41,64,2216
62000,1,47,64,2239
63000,1,52,64,2261
64000,1,58,64,2283
65000,1,30,64,2385
66000,1,36,64,2406
67000,1,41,64,2428
68000,1,46,64,2451
69000,1,52,64,2472
70000,1,57,64,2495
71000,1,30,64,2517
72000,1,35,64,2561
73000,1,40,64,2631
74000,1,46,64,2681
75000,1,51,64,2756
76000,1,57,64,2785
77000,1,29,64,2807
78000,1,35,64,2829
79000,1,40,64,2851
80000,1,46,64,2874
81000,1,51,64,2900
82000,1,57,64,2922
83000,1,29,64,2944
84000,1,34,64,2965
85000,1,40,64,2986
86000,1,45,64,3007
87000,1,51,64,3056
88000,1,56,64,3099
89000,1,29,64,3123
90000,1,35,64,3147
91000,1,40,64,3174
